"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"Keikyu Kawasaki Station","PCJ00079","Keikyu Kawasaki Station","Kanagawa-ken, Kawasaki-shi, Kawasaki-ku, Ekimaehoncho","210-0007","Kawasaki","35.533145","139.701000"
"Urawamisono Station","PCJ00085","Urawamisono Station","Saitama-ken, Saitama-shi, Midori-ku, Daimon","336-0963","Saitama","35.893451","139.727722"
"CEA Grenoble","PCG00324","CEA Grenoble","17 Avenue des Martyrs","38000","Grenoble","45.199926","5.706602"
"GARE DE HOUILLES CARRIERES SUR SEINE","PCG00074","Gare De Houilles Carrières Sur Seine","1 rue du 4 septembre","78800","HOUILLES","48.920544","2.185734"
"Gare de Sens","PCG00319","Gare de Sens","Place François Mitterrand","89100","Sens","48.197747","3.267852"
"Bureau de Poste Saint-Nazaire Bouletterie","PCG00334","Bureau de Poste Saint-Nazaire Bouletterie","8 Place Nadia Boulanger","44600","Saint-Nazaire","47.261294","-2.255817"
"Keikyu Heiwajima Station","PCJ00077","Keikyu Heiwajima station","Tokyo-to, Ota-ku, Omorikita 6-13","143-0016","Tokyo","35.578708","139.734945"
"Bureau de Poste Saint Laurent Du Var","PCG00234","Bureau de Poste Saint Laurent du Var","380 avenue de Gaulle le Marianne","06700","Saint-Laurent du Var","43.665956","7.193505"
"Keikyu Mutsuura Station","PCJ00078","Keikyu Mutsuura Station","Kanagawa-ken, Yokohama-shi, Kanazawa-ku, Mutsuura 5-2","236-0031","Yokohama","35.322859","139.611487"
"Keikyu Jinmuji Station","PCJ00076","Keikyu Jinmuji Station","Kanagawa-ken, Zushi-shi, Ikego 2-11","249-0003","Zushi","35.306279","139.592884"
"Big A Katsushika Kosuge","PCJ00207","Big A Katsushika Kosuge","Tokyo-to, Katsushika-ku, Kosuge 4-20-31","124-0001","Tokyo","35.756411","139.825777"
"Keikyu Kanazawa Bunko Station","PCJ00074","Keikyu Kanazawa Bunko Station","Kanagawa-ken, Yokohama-shi, Kanazawa-ku, Yatsucho 384","236-0016","Yokohama","35.342854","139.621682"
"Bureau de Poste - Paris Simon Bolivar","PCG00128","Bureau de Poste Paris Simon Bolivar","8 rue Clavel","75019","PARIS","48.874947","2.385040"
"JR Sakuranomiya Station","PCJ00128","JR Sakuranomiya Station","Osaka-fu, Osaka-shi, Miyakojima-ku, Nakano-cho, 5","534-0027","Osaka","34.705698","135.522807"
"TM Building","PCJ00151","TM Building","Tokyo-to, Edogawa-ku, Hirai, 1-14-1, TM Building 1F","132-0035","Tokyo","35.702423","139.849237"
"Edogawa Kuyakusho Kitagawa","PCJ00123","Edogawa Kuyakusho Kitagawa","Tokyo, Edogawa-ku, Cyuou 1-5-1","132-0021","Tokyo","35.707359","139.868039"
"Gare de Montauban","PCG00339","Gare de Montauban","Place de la gare","82000","Montauban","44.014713","1.341313"
"Gare de Saint-Quentin","PCG00322","Gare de Saint-Quentin","Place Andre Baudez","02100","Saint-Quentin","49.840096","3.297225"
"Seijo Gakuen Mae","PCJ00159","Seijo Gakuen Mae","Tokyo-to, Setagaya-ku, Seijo, 6-5-34","157-0066","Tokyo","35.640061","139.598744"
"Isamiya Kotakemukaihara","PCJ00191","Isamiya Kotakemukaihara","Tokyo-to, Itabashi-ku, Mukaihara, 3-10-37","173-0036","Tokyo","35.743417","139.681518"
"Kirakuya","PCJ00152","Kirakuya","Tokyo-to, Edogawa-ku, Funabori, 3-4-11","134-0091","Tokyo","35.681987","139.864308"
"Emio Nerima Takanodai","PCJ00242","Emio Nerima Takanodai","Tokyo-to, Nerima-ku, Takanodai 1-7-27","177-0033","Tokyo","35.740603","139.616913"
"Bureau de Poste Pau Université","PCG00332","Bureau de Poste Pau Université","2 rue Lavoisier","64000","Pau","43.310594","-0.364146"
"Odakyu Kyodo","PCJ00157","Odakyu Kyodo","Tokyo-to, Setagaya-ku, Kyodo, 2-1","156-0052","Tokyo","35.651765","139.635804"
"Seibu Shimo Ochiai Station","PCJ00201","Seibu Shimo Ochiai Station","Tokyo-to, Shinjuku-ku, Shimoochiai 1-17","161-0033","Tokyo","35.715861","139.695015"
"Bureau de Poste Lambersart","PCG00331","Bureau de Poste Lambersart","203 avenue du Maréchal Leclerc","59130","Lambersart","50.650492","3.028228"
"Bureau de Poste Clamart Centre","PCG00204","Bureau de Poste Clamart Centre","38 rue de Meudon","92140","Clamart","48.802294","2.258658"
"DailyPharma","PCF00075","Pharmacie Centrale","75 rue de Tolbiac","75013","Paris","48.827172","2.368551"
"Big A Omiya Amanuma","PCJ00225","Big A Omiya Amanuma","Saitama-ken, Saitama-shi, Omiya-ku, Amanumacho 1-441-1","330-0834","Saitama","35.907722","139.640319"
"Odakyu Ikuta","PCJ00161","Odakyu Ikuta","Kanagawa-ken, Kawasaki-shi, Tama-ku, Ikuta, 7-8","214-0038","Kawasaki","35.615023","139.541968"
"Keikyu Umeyashiki Station","PCJ00301","Keikyu Umeyashiki Station","Tokyo-to, Ota-ku, Kamata 2-28","144-0052","Tokyo","35.566828","139.728247"
"FNAC Croix Blanche","PCF00074","FNAC Croix Blanche","17 rue des Petits Champs","91700","Saint Geneviève des Bois","48.621995","2.345667"
"Bureau de Poste Poitiers Couronnerie","PCG00330","Bureau de Poste Poitiers Couronnerie","2 Place de Coimbra","86000","Poitiers","46.588884","0.359711"
"Soshigaya Okura Daini Churinjo","PCJ00164","Soshigaya Okura Daini Churinjo","Tokyo-to, Setagaya-ku, Kinuta, 8-11","157-0073","Tokyo","35.642289","139.607049"
"Odakyu Soshigayaokura","PCJ00158","Odakyu Soshigayaokura","Tokyo-to, Setagaya-ku, Soshigaya, 1-7","157-0072","Tokyo","35.643291","139.609076"
"Odakyu Yoyogi Uehara","PCJ00156","Odakyu Yoyogi Uehara","Tokyo-to, Shibuya-ku, Nishihara, 3-8","151-0066","Tokyo","35.668903","139.679474"
"Meridian at Stanford Ranch","USA00012","2121 Sunset Blvd","Package Area","95765","Rocklin","38.809281","-121.279471"
"JR Shinkawasaki","PCJ00119","JR Shinkawasaki","Kanagawa-ken, Kawasaki-shi, Saiwai-ku, Kashimada, 1-2","212-0058","Kawasaki-shi","35.550617","139.671226"
"Gare d'Armentières","PCG00335","Gare d'Armentières","Place de la gare","59280","Armentières","50.680719","2.877941"
"Odakyu Mukogaoka Yuen","PCJ00160","Odakyu Mukogaoka Yuen","Kanagawa-ken, Kawasaki-shi, Tama-ku, Noborito 2045","214-0014","Kawasaki","35.616945","139.564591"
"JR Ishikawacho","PCJ00251-162312","JR Ishikawacho","Kanagawa-ken, Yokohama-shi, Naka-ku, Ishikawacho, 2-chome","231-0868","Yokohama-shi","35.438045","139.642420"
"Gare de Bailleul","PCG00337","Gare de Bailleul","Place de la gare","59270","Bailleul","50.729158","2.734696"
"JR Higashi Nakano Station","PCJ00091","JR Higashi Nakano Station","Tokyo-to, Nakano-ku, Higashi Nakano 3-8-16","164-0003","Tokyo","35.706785","139.682923"
"JR Ishikawacho","PCJ00251","JR Ishikawacho","Kanagawa-ken, Yokohama-shi, Naka-ku, Ishikawacho, 2-chome","231-0868","Yokohama-shi","35.438045","139.642420"
"Odakyu Yurigaoka","PCJ00163","Odakyu Yurigaoka","Kanagawa-ken, Kawasaki-shi, Aso-ku, Yurigaoka, 1","215-0011","Kawasaki","35.608218","139.516038"
"Gare de Calais Ville","PCG00338","Gare de Calais Ville","46 avenue Wilson","62100","Calais","50.953542","1.850753"
"Kannana Ichinoe 7 chome","PCJ00154","Kannana Ichinoe 7 chome","Tokyo-to, Edogawa-ku, Ichinoe 7-43","132-0024","Edogawa-ku","35.686072","139.879882"
"Maison de Riplet","PCJ00202","Maison de Riplet","Tokyo-to, Edogawa-ku, Nakakasai, 3-15-7","134-0083","Tokyo","35.664134","139.869936"
"Big A Higashi Tokorozawa","PCJ00241","Big A Higashi Tokorozawa","Saitama-ken, Tokorozawa-shi, Higashi Tokorozawa, Wada 2-30-5","359-0023","Tokorozawa","35.794066","139.506241"
"Big A Higashimurayama","PCJ00237","Big A Higashimurayama Aoba","Tokyo-to, Higashimurayama-shi, Aoba-machi, 2-36-5","189-0002","Higashimurayama","35.766751","139.489190"
"Big A Edogawa Honissiki","PCJ00233","Big A Edogawa Honissiki","Tokyo-to, Edogawa-ku, Honissiki 3-27-16","133-0044","Edogawa","35.720840","139.871851"
"Gare d'Orchies","PCG00340","Gare d'Orchies","Place Andre Thomas","59310","Orchies","50.477205","3.248599"
"NPC24H Omiya Higashiguchi Parking","PCJ00298","NPC24H Omiya Higashiguchi Parking","Saitamaken saitama-shi omiya-ku shimocho 1-58","330-0844","Saitama","35.902693","139.625346"
"Seibu Shiinamachi Station","PCJ00196","Seibu Shiinamachi Station","Tokyo-to, Toshima-ku, Nagasaki 1-1","171-0051","Tokyo","35.726443","139.695002"
"Gare d'Arras","PCG00336","Gare d'Arras","Place du Maréchal Foch","62000","Arras","50.287076","2.781502"
"Gare de Chantilly","PCG00328","Gare de Chantilly","Place de la gare","60500","Chantilly","49.188700","2.459699"
"Loyola Marymount University","USA00013-163012","1 Loyola Marymount University Dr","Package Area","90045","Los Angeles","33.966739","-118.422586"
"Loyola Marymount University","USA00013-172308","1 Loyola Marymount University Dr","Package Area","90045","Los Angeles","33.966739","-118.422586"
"Decathlon Brétigny","PCF00039","Decathlon Brétigny","2 rue de Saugées","91220","BRETIGNY SUR ORGE","48.622760","2.300563"
"Gare d'Orry la Ville","PCG00327","Gare d'Orry la Ville","Place de la gare","60560","Orry-La-Ville","49.138793","2.490059"
"Bureau de Poste Marcq en Baroeul","PCG00224","Bureau de Poste Marcq en Baroeul","60 rue Raymond Derain","59700","Marcq en Baroeul","50.673597","3.091560"
"Gare de Chambéry Challes les Eaux","PCG00343","Gare de Chambéry Challes les Eaux","Place de la gare","73000","Chambéry","45.571729","5.918888"
"Gare de Voiron","PCG00342","Gare de Voiron","AVENUE LEON ET JOANNY TARDY","38500","Voiron","45.364053","5.594979"
"City Parc at Keller","USA00014","10501 North Beach Street","Package Area","76244","Fort Worth","32.927434","-97.290220"
"Gare d'Aix les Bains","PCG00344","Gare d'Aix les Bains","Place de la gare","73100","Aix-les-Bains","45.688007","5.909327"
"Gare de Béthune","PCG00329","Gare de Béthune","PLACE FRANCOIS MITTERRAND","62400","Béthune","50.521263","2.640647"
"Big-A Toshima ikebukuro","PCJ00210","Big A Tomioka Koikebukuro","Tokyo-to, Toshima-ku, Kamiikebukuro 4-18-14","170-0012","Tokyo","35.740413","139.721513"
"Minami Azabu 2chome Center","PCJ00171","Minami Azabu 2chome Center","Tokyo-to, Minato-ku, Minami Azabu 2-6-21","106-0047","Tokyo","35.649510","139.737422"
"Quol Kitakasai","PCJ00300","Quol Kitakasai","Tokyo, Edogawa-ku, Kitakasai 5-15-2","134-0081","Tokyo","35.673612","139.864576"
"Bureau de Poste Richard Lenoir","PCG00349","Bureau de Poste Richard Lenoir","97 Boulevard Richard Lenoir","75011","Paris","48.862693","2.371750"
"DEMO00005","DEM00005","Kanagawa-ken, Kawasaki-shi, Higashiogishima 6-10",,"2100869","Kawasaki","35.493922","139.751875"
"Kamoshita JS","PCJ00172","Kamoshita JS","Tokyo-to, Nerima-ku, Shakujiimachi 7-4-1","177-0041","Tokyo","35.743582","139.601801"
"Bureau de Poste Sollies Pont","PCG00348","Bureau de Poste Sollies Pont","1 AVENUE DIDIER DAURAT","83210","SOLLIES-PONT","43.193459","6.041516"
"Bureau de Poste Six Fours les Plages","PCG00303","Bureau de Poste Six Fours les Plages","AVENUE DU 8 MAI 1945","83140","SIX FOURS LES PLAGES","43.095094","5.838499"
"Koko Square Chofu","PCJ00362","Koko Square Chofu","Tokyo-to, Chofu-shi, Kokuryo-cho, 3-1-38","182-0022","Tokyo","35.649609","139.558644"
"Yokohama Railways Higashi Yamata Station","PCJ00309","Yokohama Railways Higashi Yamata Station","Kanagawa-ken, Yokohama-shi, Tsuzuki-ku, Higashi Yamatacho 300","22-0024","Yokohama","35.554162","139.604484"
"Lipscomb University","USA00015","One University Park Drive","The Parcel Lockers At The Connections","37204","Nashville","36.103688","-86.799010"
"Yokohama Railways Nakayama Station","PCJ00308","Yokohama Railways Nakayama Station","Kanagawa-ken, Yokohama-shi, Midori-ku, Nagayama-cho 350-5","226-0011","Yokohama","35.514735","139.540114"
"Yokohama Railways Takata Station","PCJ00310","Yokohama Railways Takata Station","Kanagawa-ken, Yokohama-shi, Kohoku-ku, Takatahigashi 3-1","223-0065","Yokohama","35.549626","139.620114"
"Yokohama Railways Yokohama Station","PCJ00311","Yokohama Railways Yokohama Station","Kanagawa-ken, Yokohama-shi, Nishi-ku, Minamisaiwai 1-9","220-0005","Yokohama","35.465997","139.619679"
"Odakyu Yomiuri Land mae Station","PCJ00162-172501","Odakyu Yomiuri Land mae Station","Kanagawa-ken, Kawasaki-shi, Tama-ku, Nishi Ikuta 3-8","214-0037","Kawasaki","35.614808","139.528073"
"BELC Tsudanuma store","PCJ00361","BELC Tsudanuma store","Chiba-ken, Narashino-shi, Kanadenomori 2-1-1","275-0028","Narashino","35.689499","140.015740"
"Funabashi Natsumidai Center","PCJ00304","Funabashi Natsumidai Center","Chiba-ken, Funabashi-shi, Natsumidai 3-11-5","273-0866","Funabashi","35.721928","139.990955"
"Kumegawa station North entrance underground","PCJ00174","Kumegawa station North entrance underground","Tokyo-to, Higashimurayama-shi, Sakaecho 1-3-1","189-0013","Tokyo","35.750121","139.472958"
"BigA Kawaguchi Angyou","PCJ00357","Big A Kawaguchi Angyou","Saitama-ken Kawaguchi-shi Angyoukitaya 560-1","334-0054","Saitama","35.839814","139.774096"
"Big-A Kamifukuoka Fukuoka","PCJ00346","Big-A Kamifukuoka Fukuoka","Saitama-ken, Fujimino-shi, Fukuoka 3-2-16","356-0011","Fujimino","35.885205","139.522000"
"Big A Fujimi Tsuruma","PCJ00350","Big A Fujimi Tsuruma",,"354-0021","Fujimi","35.850436","139.542645"
"BigA Kawaguchiikari","PCJ00358","Big A Kawaguchiikari","Saitama-ken Kawaguchi-shi Oazaikari Azanakadori 116","333-0865","Saitama","35.848183","139.703146"
"JR Oimachi Station","PCJ00059","JR Oimachi Station","Tokyo-to, Shinagawa-ku, Oimachi 1-2-1","140-0014","Tokyo","35.606400","139.734576"
"NPC Urawa Station Front parking","PCJ00305","NPC Urawa Station Front parking","Saitama-ken, Saitama-shi, Urawa-ku, Takasago 1-10","330-0063","Saitama","35.857488","139.655752"
"BigA Urawa Daitakubo","PCJ00360","Big A Urawa Daitakubo","Saitama-ken Saitama-shi Minami-ku Daitakubo2345-1","336-0015","Saitama","35.853383","139.682486"
"Odakyu Yomiuri Land mae Station","PCJ00162","Odakyu Yomiuri Land mae Station","Kanagawa-ken, Kawasaki-shi, Tama-ku, Nishi Ikuta 3-8","214-0037","Kawasaki","35.614808","139.528073"
"Big A Matsugaoka","PCJ00352","Big A Matsugaoka","Saitama-ken, Tsurugashima-shi, Matsugaoka 1-14-1","350-2205","Tsurugashima","35.928275","139.415642"
"Big A Moroyama Nagase","PCJ00351","Big A Moroyama Nagase","Saitama-ken, Iruma-gun, Moroyama-machi, Chuo 2-3-5","350-0461","Moroyama","35.942398","139.317319"
"Big-A Kamifukuoka Matsuyama","PCJ00345","Big-A Kamifukuoka Matsuyama","Saitama-ken, Fujimino-shi, Matsuyama 1-3-7","356-0027","Fujimino","35.873211","139.526274"
"Big A Sakado Nissai","PCJ00353","Big A Sakado Nissai","Saitama-ken, Sakado-shi, Nissai Hanamizuki 4-6-1","350-0269","Sakado","35.969142","139.367382"
"Gare de Bourg en Bresse","PCG00345","Gare de Bourg en Bresse","12 avenue Pierre Sémard","01000","BOURG EN BRESSE","46.200496","5.214945"
"Gare de Hazebrouck","PCG00346","Gare de Hazebrouck","Place de la gare","59190","Hazebrouck","50.724829","2.541801"
"Nozawa","PCJ00135","Nozawa","Tokyo, Setagaya-ku, Nozawa 3-31-1","154-0003","Tokyo","35.630499","139.671737"
"Big A Katsushika Nishi Kameari","PCJ00359","Big A Katsushika Nishi Kameari","Tokyo-to, Katsushika-ku, Nishi Kameari 1-30-14","124-0002","Tokyo","35.758681","139.843190"
"Big A Sakado Asabano","PCJ00354","Big A Sakado Asabano","Saitama-ken, Sakado-shi, Asabano 1-1-7","350-0237","Sakado","35.954442","139.382903"
"Big A Sayama-shi Sayamadai","PCJ00348","Big A Sayama-shi Sayamadai","Saitama-ken, Sayama-shi, Sayamadai 3-13-5","350-1304","Sayama","35.854787","139.430597"
"BigA Konosu Tenjin","PCJ00355","Big A Konosu Tenjin","Saitama-ken Kounosu-shi Tenjin5-10-23","365-0036","Saitama","36.062084","139.522596"
"Gare de Antibes","PCG00347","Gare de Antibes","Avenue Paulin Talabot","06600","Antibes","43.585651","7.119522"
"Wakaba Station West parking","PCJ00299","Wakaba Station West parking","Saitama-ken, Sakado-shi, Sekima 4-12","350-0215","Sakado","35.949445","139.407712"
"Minami Ozawa Station Front parking","PCJ00307","Minami Ozawa Station Front parking","Tokyo-to, Hachioji-shi, Minami Ozawa 4-2-1","192-0364","Hachioji","35.613056","139.377064"
"Big A Kodaira Danchi","PCJ00239","Big A Kodaira Danchi","Tokyo-to, Kodaira-shi, Kihei-cho, 3-2-5-106","187-0044","Tokyo","35.719106","139.489127"
"Bureau de Poste Courbevoie Aristide Briand","PCG00201","Bureau de Poste Courbevoie Aristide Briand","14 boulevard Aristide Briand","92400","Courbevoie","48.899296","2.257925"
"Seibu Fujimidai Station","PCJ00197","Seibu Fujimidai Station","Tokyo-to, Nerima-ku, Nukui 3-7","176-0021","Tokyo","35.735797","139.629814"
"Yomuyomuhara Toma Ekimae","PCJ00344","Yomuyomuhara Toma Ekimae","Kanagawa-ken, Sagamihara-shi, Minami-ku, Shimomizo 606-17","252-0335","Sagamihara","35.531111","139.376594"
"Seibu Nerimanishiguchi","PCJ00102","Seibu Nerimanishiguchi","Tokyo-to, Nerima-ku, Nerima 1-3-5","176-0001","Tokyo","35.737842","139.653909"
"Seibu Shakujikoen","PCJ00101-173101","Seibu Shakujikoen","Tokyo-to, Nerima-ku, Shakujimachi 3-23-10","177-0041","Tokyo","35.743713","139.606670"
"Tanashi station North entrance Daini Carpark","PCJ00103","Tanashi station North entrance Daini Carpark","Tokyo-to, Nishi Tokyo-shi, Tanashi-cho 4-1-1","188-0011","Tokyo","35.727454","139.539353"
"Seibu Higashinagasaki Station","PCJ00198","Seibu Higashinagasaki Station","Tokyo-to, Toshima-ku, Nagasaki 5-1","171-0051","Tokyo","35.731005","139.682743"
"Seibu Shakujikoen","PCJ00101","Seibu Shakujikoen","Tokyo-to, Nerima-ku, Shakujimachi 3-23-10","177-0041","Tokyo","35.743713","139.606670"
"Higashimurayama Akitsu Center","PCJ00364","Higashimurayama Akitsu Center","Tokyo-to, Higashikurume-shi, Shimosato 4-4-47","203-0043","Tokyo","35.756975","139.495153"
"Slate at Andover","USA00016","50 Woodview Way","Package Room","01810","Andover","42.650486","-71.184366"
"Toei Shintakashimadaira Station","PCJ00321","Toei Shintakashimadaira Station","Tokyo-to, Itabashi-ku, Takashimadaira7-1","175-0082","Tokyo","35.790285","139.653947"
"Gare de Mulhouse","PCG00325","Gare de Mulhouse","10 AVENUE DU GENERAL LECLERC","68100","Mulhouse","47.741966","7.342335"
"Big A Chiba Masago","PCJ00372","Big A Chiba Masago","Chiba-ken, Chiba-shi, Mihama-ku, Masago 5-44-6","261-0011","Chiba","35.643404","140.059662"
"Omoriminami Center","PCJ00134","Omoriminami Center","Tokyo, Ota-ku, Omoriminami 4-15-19","143-0013","Tokyo","35.564553","139.746400"
"Big A Sakura Yukarigaoka","PCJ00369-172710","Big A Sakura Yukarigaoka","Chiba-ken, Sakura-shi, Yukarigaoka 2-32-5","285-0858","Sakura-shi","35.728092","140.155294"
"Toei Shinozaki Station","PCJ00322","Toei Shinozaki Station","Tokyo-to, Edogawa-ku, Shinozaki-machi 7-27-1","133-0061","Tokyo","35.706033","139.903592"
"Big A Chiba Hanamigawa danchi","PCJ00371","Big A Chiba Hanamigawa danchi","Chiba-ken, Chiba-shi, Hanamigawa-ku, Hanamigawa 2-43-101","262-0046","Chiba-shi","35.688405","140.095305"
"Toei Nishitakashimadaira Station","PCJ00320","Toei Nishitakashimadaira Station","Tokyo-to, Itabashi-ku, Takashimadaira 6-1","175-0082","Tokyo","35.791454","139.647867"
"Big A Chiba Takahama","PCJ00370","Big A Chiba Takahama","Chiba-ken, Chiba-shi, Mihama-ku, Takahama 1-10-1","261-0003 ","Chiba","35.620780","140.075725"
"Auchan Manosque","PCF00061","Auchan Manosque","Route de Sisteron","04100","Manosque","43.850163","5.823814"
"The Ridge","USA00017","6805 Wood Hollow Dr","Parcel Locker","78731","Austin","30.350095","-97.754186"
"Tamagawa Takashimaya S.C","PCJ00377","Tamagawa Takashimaya S.C","Tokyo-to, Setagaya-ku, Tamagawa 3-17-1","158-0094","Tokyo","35.614184","139.626719"
"Ark building Kanazawa bunko","PCJ00205","Ark building Kanazawa bunko","Kanagawa-ken, Yokohama-shi, Kanazawa-ku, Yatsu-cyo, 138","236-0016 ","Yokohama","35.344588","139.622626"
"Yamato Takatus Chitose center","PCJ00325","Yamato Takatus Chitose center","Kanagawa-ken, Kawasaki-shi, Takatsu-ku, Nogawa,3674","213-0027","Kawasaki","35.573908","139.619519"
"JR Central Kanayama station","PCJ00169","JR Central Kanayama station","Aichi-ken, Nagoya-shi, Naka-ku, Kanayama 1-17-18","460-0022","Nagoya","35.142886","136.901186"
"Gare de Blois","PCG00351","Gare de Blois","70 Boulevard Daniel Dupuis","41000","Blois","47.585205","1.323513"
"NPC Urawa Station Front parking (Inside)","PCJ00368","NPC Urawa Station Front parking (Inside)","Saitama-ken, Saitama-shi, Urawa-ku, Takasago 1-10","330-0063","Saitama-shi","35.857319","139.655764"
"Gare de Reims","PCG00352","Gare de Reims","Cours de la gare","51100","REIMS","49.259209","4.024796"
"Yahoo","PCJ00024-170103","Yahoo","Tokyo-to, Chiyoda-ku, Kioicho 1-3","102-0094","Tokyo","35.679627","139.736854"
"JR Nakayama","PCJ00057","JR Nakayama","Kanagawa-ken, Yokohama-shi, Midori-ku, Terayamacho 80","226-0013","Yokohama","35.514811","139.539330"
"Higashimurayama Station West exit Underground parking","PCJ00176","Higashimurayama Station West exit Underground parking","Tokyo-to, Higashimurayama-shi, Noguchicho 1-41","189-0022","Higashimurayama","35.761205","139.465330"
"JR Ogikubo station","PCJ00104","JR Ogikubo station","Tokyo-to, Suginami-ku, Kamiogi 1-31","167-0051","Tokyo","35.704497","139.619058"
"Mainichi Shakuji Koen","PCJ00204","Mainichi Shakuji Koen","Tokyo-to, Nerima-ku, Shakujiimachi 4-4-2","177-0041","Tokyo","35.744620","139.605328"
"JR Usami station","PCJ00333","JR Usami station","Shizuoka-ken, Ito-shi, Usami 1818","414-0001","Ito","35.005981","139.079878"
"JR Chigasaki station","PCJ00329","JR Chigasaki station","Kanagawa-ken, Chigasaki-shi, Motomachi 1","253-0043","Chigasaki","35.330298","139.406847"
"Toei Toshimaen station","PCJ00323","Toei Toshimaen station","Tokyo-to, Nerima-ku, Nerima 4-14-17","176-0001","Tokyo","35.741559","139.648869"
"YCF Honsha","PCJ00383","YCF Honsha","Tokyo-to, Toshima-ku, Takada 3-15-10","171-0033","Tokyo","35.715445","139.706091"
"JR Oguchi station","PCJ00114","JR Oguchi station","Kanagawa-ken, Yokohama-shi, Kanagawa-ku, Oguchidori","221-0002","Yokohama","35.492179","139.646124"
"JR Central Kariya","PCJ00168","JR Central Kariya","Aichi-ken, Kariya-shi, Sakura-machi 1chome","448-0028","Kariya","34.991855","137.007370"
"JR Central Tsurumai","PCJ00167","JR Central Tsurumai","Aichi-ken, Nagoya-shi, Naka-ku, Chiyoda 5-23-24","460-0012","Nagoya-shi","35.156275","136.917278"
"Toei Higashi Nakano station","PCJ00324","Toei Higashi Nakano station","Tokyo-to, Nakano-ku, Higashinakano 3-8-16","164-0003","Tokyo","35.707063","139.682773"
"JR Central Chikusa station","PCJ00170","JR Central Chikusa station","Aichi-ken, Nagoya-shi, Chikusa-ku, Uchiyama 3-24-8","464-0075","Nagoya","35.170212","136.930368"
"JR Central Ozone station","PCJ00166","JR Central Ozone station","Aichi-ken, Nagoya-shi, Higashi-ku, Higashi Ozone-cho 46-6","461-0022","Nagoya","35.191766","136.937408"
"BNP Paribas","PCG00357","BNP Paribas Leasing Solutions","12 rue du port","92000","Nanterre","48.893492","2.179239"
"JR Central Nagoya2","PCJ00365","JR Central Nagoya2","Aichi-ken, Nagoya-shi, Nakamura-ku, Meieki 1-1-4","450-0002","Nagoya","35.170711","136.882540"
"JR Central Nagoya station Sakuradoori","PCJ00165","JR Central Nagoya station Sakuradoori","Aichi-ken, Nagoya-shi, Nakamura-ku, Meieki 1-1-4","450-0002","Nagoya","35.170786","136.882715"
"Bureau de Poste St Germain les Corbeil","PCG00226","Bureau de Poste De St Germain Les Corbeil","1 rue de la Tuilerie","91250","Saint Germain Les Corbeil","48.619897","2.489937"
"DROPBIRD GARES","PCG00323","Dropbird Métro Gares Rennes","19 place de la Gare","35000","Rennes","48.103911","-1.673538"
"Gare de Ermont Eaubonne","PCG00356","Gare de Ermont Eaubonne","2 rue de l'arrivée","95120","Eaubonne","48.893492","2.179239"
"Rosewood Hights Monzen Nakacho","PCJ00334","Rosewood Hights Monzen Nakacho","Tokyo-to, Edogawa-ku, Eitai 2-30-5","135-0034","Tokyo","35.673238","139.792518"
"Yahoo","PCJ00024","Yahoo","Tokyo-to, Chiyoda-ku, Kioicho 1-3","102-0094","Tokyo","35.679627","139.736854"
"JR West Rokkomichi station","PCJ00130","JR West Rokkomichi station","Hyogo-ken, Kobe-shi, Nada-ku Nagatecho 4-1","657-0027","Kobe","34.714976","135.238539"
"Portage Bay","USA00018","2949 Portage Bay",,"95616","West Davis","38.548965","-121.788021"
"LaSalle Apartments","USA00019","880 Alvarado Avenue",,"95616","Davis","38.561562","-121.760542"
"ADEO","PCF00077","Hall d´accueil Terradeo","135 rue Sadi Carnot","59790","Ronchin","50.606850","3.102161"
"Bureau de Poste Viry Chatillon","PCG00355","Bureau de Poste Viry Chatillon","12 Rue Henri Barbusse									","91170","Viry Chatillon","48.672396","2.375409"
"Kumegawa station South exit 1st parking","PCJ00173","Kumegawa station South exit 1st parking","Tokyo-to, Higashimurayama-shi, Sakaecho 2-29-2","189-0013","Higashimurayama","35.748390","139.470573"
"Utsunomiya University","PCJ00480","Utsunomiya University","Tochigi-ken, Utsunomiya-shi, Minemachi 350","321-0943","Utsunomiya","36.550779","139.914842"
"Leopalace Ogikubo 12","PCJ00184","Leopalace Ogikubo 12","Tokyo-to, Suginami-ku, Minamiogikubo 2-13-14","167-0052","Tokyo","35.698260","139.611581"
"Haren Terrace Higashi Omiya","PCJ00513","Haren Terrace Higashi Omiya","Saitama-ken, Saitama-shi, Minuma-ku, Shimacho 16","337-0006","Saitama","35.945963","139.652432"
"Keikyu Kurihama station","PCJ00336","Keikyu Kurihama station","Kanagawa-ken, Yokosuka-shi, Kurihama 4-4","239-0831","Yokosuka","35.231394","139.702165"
"Packcity DEMO","NEO99999-171909","Packcity DEMO",,"75015","PARIS","48.831771","2.288073"
"JR Kawaguchi Station","PCJ00063","JR Kawaguchi station","Saitama-ken, Kawaguchi-shi, Sakaecho 3-1-24","332-0017","Saitama","35.801947","139.717637"
"Keikyu Tachiaikawa station","PCJ00337","Keikyu Tachiaikawa station","Tokyo-to, Shinagawa-ku, Higashioi 2-23","140-0011","Tokyo","35.598464","139.738809"
